relative,id.joana,cam.id,type,species,pop.me,accession,altitude,alt.type,side,type.gmk,tip.label,type.tree,mean.depth.wg.withzeros,seq.round,subsp,in.tree,in.tree.supp.balanced,in.main.text.tree,latitude,longitude,notes
erato,CAM040835,CAM040835,eraEvlowW,erato,era.ec.w.ton,ERS4212682,77,low,west,EvlowW,,,18.6,Novo.Ec.dec17,cyrbia,yes,yes,,,,
erato,CAM040842,CAM040842,eraEvlowW,erato,era.ec.w.ton,ERS4212684,77,low,west,EvlowW,,,17,Novo.Ec.dec17,cyrbia,yes,yes,,,,
erato,CAM040850,CAM040850,eraEvlowW,erato,era.ec.w.ton,ERS4212685,77,low,west,EvlowW,,,17.71,Novo.Ec.dec17,cyrbia,yes,yes,,,,
erato,CAM040852,CAM040852,eraEvlowW,erato,era.ec.w.ton,ERS4212686,77,low,west,EvlowW,,,16.84,Novo.Ec.dec17,cyrbia,yes,yes,,,,
erato,CAM040853,CAM040853,eraEvlowW,erato,era.ec.w.ton,ERS4212687,77,low,west,EvlowW,,,17.82,Novo.Ec.dec17,cyrbia,yes,,,,,
erato,CAM040854,CAM040854,eraEvlowW,erato,era.ec.w.ton,ERS4212688,77,low,west,EvlowW,,,16.77,Novo.Ec.dec17,cyrbia,yes,,,,,
erato,CAM040860,CAM040860,eraEvlowW,erato,era.ec.w.ton,ERS4212690,77,low,west,EvlowW,,,17.12,Novo.Ec.dec17,cyrbia,yes,,,,,
erato,CAM040861,CAM040861,eraEvlowW,erato,era.ec.w.ton,ERS4212691,77,low,west,EvlowW,,,18.66,Novo.Ec.dec17,cyrbia,yes,,,,,
erato,SRR4032005,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4032012,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4032013,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4032042,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4032089,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4032090,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4032091,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4032092,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4032097,,eraNHE,erato,,,,high,east,EhighE,,,,,notabilis,yes,,,,,
erato,SRR4031998,,hecalesia,hecalesia,,,,high,,,,,,,,no,,,,,
erato,SRR4032035,,hermathe,hermathe,,,,,east,,hermathena,outgroup,,,,yes,yes,yes,,,
erato,SRR4032036,,hermathe,hermathe,,,,high,east,,,,,,,yes,yes,,,,
erato,SRR4032037,,hermathe,hermathe,,,,high,east,,,,,,,yes,yes,,,,
erato,SRR4032038,,himHE,himera,,,,high,east,ElowE,him. high E,highland.species.close,,,,yes,yes,yes,,,
erato,SRR4032039,,himHE,himera,,,,high,east,ElowE,,,,,,yes,yes,,,,
erato,SRR4032040,,himHE,himera,,,,high,east,ElowE,,,,,,yes,yes,,,,
erato,SRR4032041,,himHE,himera,,,,high,east,ElowE,,,,,,yes,yes,,,,
erato,SRR8883895,,himInbredEcuador,himera,,,,high,east,ElowE,,,,,,no,,,,,
erato,SRR8883903,,himInbredEcuador,himera,,,,high,east,ElowE,,,,,,no,,,,,
erato,SRR6313531,BC_2570 ,himLE,himera,,,350,high,east,ElowE,,,,,,yes,,,-5.43724,-78.4714,valley within mountains
erato,SRR6313532,,himLE,himera,,,,high,east,ElowE,,,,,,yes,,,,,
erato,SRR6313541,,himLE,himera,,,,high,east,ElowE,,,,,,yes,,,,,
erato,SRR6313542,,himLE,himera,,,,high,east,ElowE,,,,,,yes,,,,,
erato,SRR4032054,,hortenseElSalvador,hortense,,,,,west,,hortense,outgroup,,,,yes,yes,yes,,,
erato,SRR4032011,,ricini,ricini,,,,,,,,,,,,yes,,,,,
erato,SRR4032098,,sara,sara,,,,,,,,,,,,yes,,,,,
erato,SRR4032099,,sara,sara,,,,,,,,,,,,yes,,,,,
erato,CAM040276,CAM040276,telhighE,telesiphe,,,,high,east,,tel. high E,highland.species,,,,yes,yes,yes,,,
erato,CAM040320,CAM040320,telhighE,telesiphe,,,,high,east,,,,,,,yes,yes,,,,
erato,CAM040736,CAM040736,telhighE,telesiphe,,,,high,east,,,,,,,yes,yes,,,,
erato,CAM041045,CAM041045,telhighE,telesiphe,,,,high,east,,,,,,,yes,yes,,,,
erato,CAM041105,CAM041105,telhighE,telesiphe,,,,high,east,,,,,,,yes,,,,,
erato,CAM041106,CAM041106,telhighE,telesiphe,,,,high,east,,,,,,,yes,,,,,
erato,CAM041107,CAM041107,telhighE,telesiphe,,,,high,east,,,,,,,yes,,,,,
erato,CAM041108,CAM041108,telhighE,telesiphe,,,,high,east,,,,,,,yes,,,,,
erato,CAM041109,CAM041109,telhighE,telesiphe,,,,high,east,,,,,,,yes,yes,,,,
erato,CAM041110,CAM041110,telhighE,telesiphe,,,,high,east,,,,,,,yes,,,,,
erato,SRR4032081,,telhighE,telesiphe,,,,high,east,,,,,,,yes,,,,,
erato,SRR4032080,,telhighE_era,telesiphe_erato,,,,high,east,,,,,,,no,no,,,,
erato,SRR8883900,,telPeru,telesiphe,,,,high,east,,,,,,,yes,,,,,
