P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
eraChighW	eraChighE	hermathena	0.0121589	3.58826	0.000166447	0.0117799	69926.2	34039.3	33221.5
himHE	eraChighE	eraChighW	0.0244606	7.70493	6.54587e-15	0.0554836	58103.8	48977.3	46638.4
eraChighE	eraChighW	hortense	0.0372872	9.21437	nan	0.0352326	75182.6	22168.4	20574.6
eraChighE	eraChighW	telhighE	0.0297754	8.41849	1.9082e-17	0.0310962	82080.4	24497.8	23081.1
eraCvlowE	eraChighE	eraCvlowW	0.0124806	4.1057	2.01549e-05	0.0288561	62579.1	48154.6	46967.5
eraChighE	eraEhighE	eraCvlowE	0.00472912	3.55178	0.000191317	0.130863	45816.4	45076.4	44652.1
eraCvlowE	eraChighE	eraEhighW	0.0136741	4.68979	1.36746e-06	0.0275512	64246.6	48101.6	46803.9
eraChighE	eraEvlowE	eraCvlowE	0.000861703	0.173767	0.431024	0.0230738	45464.4	45113.8	45036.2
eraCvlowE	eraChighE	eraEvlowW	0.0137288	4.63709	1.76672e-06	0.0278228	64188.6	48084.3	46781.9
eraChighE	eraCvlowE	hermathena	0.0021115	1.07721	0.140694	0.0016938	77454.3	27718.8	27602
eraCvlowE	eraChighE	himHE	0.00153722	0.513552	0.303783	0.00215316	47538.2	41519.5	41392
eraChighE	eraCvlowE	hortense	0.00240254	1.22416	0.110446	0.00184357	83357.1	17503.4	17419.5
eraChighE	eraCvlowE	telhighE	0.00157806	0.605473	0.272432	0.00134235	91020.6	19534.5	19473
eraEhighE	eraChighE	eraCvlowW	0.00500775	2.88876	0.00193381	0.0117066	63018.6	47439.9	46967.2
eraEhighW	eraCvlowW	eraChighE	0.021778	10.6973	nan	0.0658348	74728.9	39775.3	38079.8
eraEvlowE	eraChighE	eraCvlowW	0.0102313	1.63506	0.0510184	0.0237224	62687.8	47851.5	46882.2
eraEvlowW	eraCvlowW	eraChighE	0.0213756	9.95079	nan	0.0652457	74747.4	39767.1	38102.6
eraCvlowW	eraChighE	hermathena	0.0136689	4.1757	1.48539e-05	0.0131484	70390.6	33881.2	32967.4
himHE	eraChighE	eraCvlowW	0.0284738	9.33284	nan	0.0668219	57474.5	49170.9	46448.2
eraChighE	eraCvlowW	hortense	0.0343885	9.11727	5.42101e-20	0.0323201	75567.3	21965	20504.5
eraChighE	eraCvlowW	telhighE	0.0264954	6.32796	1.24211e-10	0.0275862	82547.9	24281.2	23027.7
eraEhighE	eraChighE	eraEhighW	0.00542995	2.83281	0.00230703	0.0110689	64651.6	47357.2	46845.7
